,BRK-A_open,BRK-A_high,BRK-A_low,BRK-A_close,BRK-A_volume
2022-12-14,473079.4588,477699.9900,466451.5650,468020.0000,2907
2022-12-13,482502.7500,483393.0000,469409.6700,471999.9900,3043
2022-12-12,465649.9988,471234.9900,461795.6800,471079.9600,3864
2022-12-09,461772.7500,466119.9988,459402.2500,463000.0200,2781
2022-12-08,462435.8550,464619.4600,460612.2500,462780.0000,2647
2022-12-07,464302.7500,467080.9588,460408.2500,461593.4000,2890
2022-12-06,467175.0000,469659.4600,462422.2500,464837.5000,2732
2022-12-05,475080.0000,476689.0000,466160.0000,468700.0000,4128
2022-12-02,472705.0000,477526.0000,470680.0000,477403.0000,2794
2022-12-01,481042.8950,483162.0000,472863.8700,477085.0000,2949
2022-11-30,476093.5400,480301.5750,466100.0000,480280.0000,3174
2022-11-29,471117.8950,475970.9588,468796.0100,475843.0000,2642
2022-11-28,474511.0100,478838.7688,471000.0000,472712.0100,4032
2022-11-25,480349.6288,481580.4400,476281.0100,478675.5500,2660
2022-11-23,476823.0000,477529.9988,473716.0100,477019.9900,2918
2022-11-22,470608.5000,477409.9988,469217.0000,476980.0000,2823
2022-11-21,467817.1250,471915.3400,464865.0000,468921.7600,3856
2022-11-18,469642.7488,469642.7500,465395.0000,468290.0000,2682
2022-11-17,460785.3750,465000.0000,459043.0000,463694.9900,2592
2022-11-16,470627.7500,471327.7500,463401.0300,465520.0000,2629
2022-11-15,474062.7500,474482.7500,464625.1200,468232.7500,2908
2022-11-14,471808.9900,472470.0000,464516.0200,466600.0000,4025
2022-11-11,460357.6250,471870.0000,456961.7700,469047.2500,3333
2022-11-10,448490.5000,458384.9888,444918.4200,457665.0000,3160
2022-11-09,441802.1250,444168.0000,434925.0000,435945.0000,2595
2022-11-08,440405.0000,445435.0000,436311.8600,442100.0000,2520
2022-11-07,439035.0550,442216.0000,434837.1000,438575.0100,3642
2022-11-04,434462.7500,437249.9988,426136.0000,432000.0000,2687
2022-11-03,432450.0000,434427.7600,428465.0100,428800.0000,2548
2022-11-02,439612.2500,449942.4988,437255.0000,438699.9000,2636
2022-11-01,450141.1250,452079.4600,441879.7300,443004.0000,2449
2022-10-31,449277.3750,450837.7500,444750.0000,445050.0000,3849
2022-10-28,441661.6250,451970.0000,440052.2500,451900.0000,2869
2022-10-27,438782.7500,468795.0000,415639.0000,437900.0000,2390
2022-10-26,438227.7500,440404.6200,434601.0000,435660.0000,2505
2022-10-25,436232.5050,437829.4600,432872.7000,436400.0000,2446
2022-10-24,428848.5050,437724.9988,427787.2500,432500.0000,3781
2022-10-21,413212.2500,428229.9588,410112.2400,427169.9900,2361
2022-10-20,421045.0000,423874.9988,413950.1000,413950.1000,2210
2022-10-19,427232.6250,430415.0000,419630.0100,421610.0000,2241
2022-10-18,427925.1250,431339.9988,423923.0000,428465.0000,2791
2022-10-17,420552.7500,421847.7488,416837.2500,419100.8000,3366
2022-10-14,419359.0050,421651.0000,412760.0000,412760.0000,3983
2022-10-13,394151.8750,417859.9888,393012.2500,415222.0000,2583
2022-10-12,404105.8550,405249.4600,399251.0000,399251.0000,2747
2022-10-11,401644.5000,409609.9988,400332.0000,402836.0100,2130
2022-10-10,407070.8550,408699.4600,401591.3700,403000.0000,3405
2022-10-07,413766.6250,415639.0000,403600.0000,406009.9800,2407
2022-10-06,422904.4600,422904.4600,415945.0000,416300.0000,2114
2022-10-05,419405.6250,423914.9780,416842.2500,420667.4950,2164
2022-10-04,419663.0000,425534.9980,417422.0000,424180.0000,2503
2022-10-03,409434.6250,414649.9400,405116.0000,413300.0000,3154
2022-09-30,406833.1200,413174.0280,404072.2500,406470.0000,2737
2022-09-29,409807.7500,412715.9380,401226.8700,406700.0000,2792
2022-09-28,404132.7480,414000.0000,400342.2500,410704.9800,2544
2022-09-27,402857.7480,403999.9980,395202.2500,401490.0000,2955
2022-09-26,401234.3750,404499.4600,397787.0400,399127.7500,3437
2022-09-23,403476.9980,404798.5000,399450.0100,404485.2500,3089
2022-09-22,408263.2500,409683.7480,405000.0000,405375.0100,2742
2022-09-21,423753.9880,423753.9900,407585.0000,407930.0000,2510
2022-09-20,419707.7500,419869.0000,414501.0000,419869.0000,2354
2022-09-19,411560.8500,421339.0000,410892.2500,421339.0000,3154
2022-09-16,415200.0000,416540.0000,411161.0100,414536.9900,2738
2022-09-15,418509.3750,423305.3900,415622.2500,417103.0000,2473
2022-09-14,419877.7480,421200.0000,414247.2500,420499.9000,2651
2022-09-13,427939.2580,428446.3600,417598.6200,418700.0000,2900
2022-09-12,432132.7500,434576.7500,429670.9400,433062.2500,3015
2022-09-09,428917.7500,431347.7480,426000.0000,429819.4300,2317
2022-09-08,420722.7480,426850.0000,416793.6250,426850.0000,2102
2022-09-07,416999.9980,423246.4880,412675.1100,422047.0000,2118
2022-09-06,419989.2600,420247.7500,414285.0500,416860.0000,3337
2022-09-02,429439.2580,429439.2600,415362.2600,417940.0000,2583
2022-09-01,421000.0000,424906.9980,416882.3429,424289.9800,2535
2022-08-31,431745.0550,433325.0000,421308.0000,421308.0000,2463
2022-08-30,436039.2600,436594.2600,428122.0100,429700.0000,2191
2022-08-29,435064.2600,435802.7380,429487.2600,433300.0000,3164
2022-08-26,448972.5000,450867.7500,435770.0100,436201.0000,2536
2022-08-25,444694.2580,448000.0000,440222.2600,448000.0000,2178
2022-08-24,436624.6800,442317.7380,435010.0000,442210.0000,2175
2022-08-23,436408.4700,438274.4180,432739.0100,435730.0000,2210
2022-08-22,444239.2600,444239.2600,432451.7300,433650.0000,3606
2022-08-19,457004.2580,457004.2600,446512.2500,447154.9900,2660
2022-08-18,458177.7480,458177.7480,453347.2600,457400.0100,2162
2022-08-17,459959.2600,461269.4300,454105.1100,457277.4950,2522
2022-08-16,459224.2600,463000.0000,456000.0000,461299.9980,2740
2022-08-15,450929.2600,456992.2280,446866.0100,455170.0000,3065
2022-08-12,448192.7500,453059.0000,446132.2500,452697.2500,2359
2022-08-11,448839.2600,448869.0000,444700.5700,445301.9900,2340
2022-08-10,445299.6850,446904.2600,441500.0000,442800.0000,2310
2022-08-09,441377.7500,447370.0780,438665.0000,440057.7480,2237
2022-08-08,445259.4600,450000.0000,439010.0000,439167.0100,3130
2022-08-05,438634.7850,443384.4100,436510.0000,439528.9200,2262
2022-08-04,444294.2600,445200.0000,440874.5500,442149.0000,2596
2022-08-03,443964.2580,444851.0000,437005.0000,443450.0000,2567
2022-08-02,445734.2600,445734.2600,438649.5800,439179.6400,2271
2022-08-01,451989.2600,451989.2600,443000.0000,444650.0000,3447
2022-07-29,446034.6850,453985.0000,443617.0500,451700.0000,2893
2022-07-28,436772.5000,442000.0000,430815.0000,442000.0000,2189
2022-07-27,431500.1100,437782.7480,429289.9950,436100.0000,1940
2022-07-26,431962.5000,433732.7380,427415.0000,428643.9900,1928
2022-07-25,432249.2600,434029.9980,428185.0000,432578.6200,2530
2022-07-22,434424.2580,434808.0000,425911.0100,429562.0050,1990
2022-07-21,432039.2580,432789.2600,423600.0000,430900.0000,2266
2022-07-20,425260.1100,430059.0450,425260.1100,429200.0000,2209
2022-07-19,421539.2580,426597.7480,417309.0100,425110.0000,2161
2022-07-18,423459.2580,423624.5000,412864.0000,414450.0000,2771
2022-07-15,416157.2500,420499.9880,414693.8700,418349.0100,1651
2022-07-14,412498.9900,413499.9980,407733.8750,412600.0000,1994
2022-07-13,413909.9950,420794.9080,411385.1100,417250.0000,1796
